HUD frame time nsec:,16658000

Range Index,Elapsed Time, First Event,Last Event
0,42784,1,1
1,89184,44,44
2,24576,50,50
3,19904,56,56
4,19744,62,62
5,18464,68,68
6,17760,74,74
7,10717824,78,78

Range Index,Elapsed Time, First Event,Last Event
0,42912,1,1
1,69440,44,44
2,24864,50,50
3,20352,56,56
4,19232,62,62
5,18848,68,68
6,15424,74,74
7,9630464,78,78
