HUD frame time nsec:,16659000

Range Index,Elapsed Time, First Event,Last Event
0,47168,1,1
1,27296,44,44
2,21856,50,50
3,20864,56,56
4,11680,62,62
5,17568,68,68
6,6208,74,74
7,9657248,78,78
