HUD frame time nsec:,16659000

Range Index,Elapsed Time, First Event,Last Event
0,42848,1,1
1,75168,44,44
2,24448,50,50
3,19648,56,56
4,21568,62,62
5,18944,68,68
6,15424,74,74
7,10984320,78,78

Range Index,Elapsed Time, First Event,Last Event
0,74816,44,44
1,25376,50,50
2,35776,56,56
3,21664,62,62
4,18752,68,68
5,15616,74,74

Range Index,Elapsed Time, First Event,Last Event,gpu__draw_count,Cycles,zrop__lts_read_utilization_pct,Cycles,DispatchLaunchDimZAvg,Cycles,tex__busy_pct_avg,Cycles,smsp__inst_executed_cs_sum,Cycles,tex__sm_utilization_pct,Cycles,ia__prim_count,Cycles,dram__write_pct,Cycles,DispatchLaunchDimXAvg,Cycles,gpu__shaded_fragments,Cycles,lts__request_total_sectors_hitrate_pct,Cycles,sm__tex_utilization_pct,Cycles,gpu__dispatch_count,Cycles,ltc__sol_pct,Cycles,DispatchLaunchDimYAvg,Cycles,DispatchTotalThreads,Cycles,DispatchKernelDimXAvg,Cycles,DispatchKernelDimYAvg,Cycles,DispatchKernelDimZAvg,Cycles,crop__sol_pct,Cycles,sm__active_cycles_vs_pct,Cycles,sm__active_cycles_tcs_pct,Cycles,sm__active_cycles_tes_pct,Cycles,sm__active_cycles_gs_pct,Cycles,sm__active_cycles_fs_pct,Cycles,sm__active_cycles_cs_pct,Cycles,ia__sol_pct,Cycles,ia__busy_pct_avg,Cycles,lts__request_tex_write_utilization_pct,Cycles,sm__sol_pct,Cycles,sm__busy_pct_avg,Cycles,tex__sol_pct,Cycles,lts__busy_pct_avg,Cycles,crop__busy_pct_avg,Cycles,crop__lts_write_utilization_pct,Cycles,zrop__sol_pct,Cycles,zrop__busy_pct_avg,Cycles,fbpa__sol_pct,Cycles,fbpa__busy_pct_avg,Cycles,lts__request_ia_read_utilization_pct,Cycles,lts__request_tex_read_utilization_pct,Cycles,xfb__lts_utilization_pct,Cycles,zrop__lts_write_utilization_pct,Cycles,crop__lts_read_utilization_pct,Cycles,dram__read_pct,Cycles
0,889696,44,74,6,1,0.436793,1,0,1,19.5848,1,0,1,1.19628,1,1069,1,1.13812,1,0,1,446004,1,84.7283,1,1.60321,1,0,1,3.2495,1,0,1,0,1,0,1,0,1,0,1,2.77837,1,2.85888,1,0,1,0,1,0,1,14.9757,1,0,1,0.164741,1,2.99265,1,0,1,5.5625,1,30.0337,1,2.11343,1,15.7107,1,2.77837,1,1.10114,1,0.892489,1,13.7116,1,2.12246,1,75.2982,1,0.0542996,1,2.57982,1,0,1,0.688842,1,0.321511,1,0.984344,1
